Código,Nome,Histórico,Foto,Autor,Inauguração,Localização,Latitude,Longitude
12,"João Caetano","Este monumento foi fundido em Roma e instalado inicialmente em frente à antiga Academia de Belas Artes, na Travessa das Belas Artes.  Em 24 de maio de 1916, foi transferido para esse local, em frente ao teatro que hoje leva seu nome.  A estátua está representada com os trajes do personagem principal da peça 'Oscar, filho de Ossion', uma das suas melhores representações.","http://riomonumentos.com/cadastro/uploads/joao-caetano.jpg","Francisco Manuel Chaves Pinheiro","1891","Praça Tiradentes, Rio de Janeiro - RJ","-22.906321","-43.182230"
13,"Escultura para o Rio (Pedras Portuguesas)","A escultura valoriza uma tradição do Rio de Janeiro, as calçadas de pedra portuguesa, porém na situação vertical, em seu desenho sinuoso.","http://riomonumentos.com/cadastro/uploads/escultura-para-o-rio-(pedras-portuguesas).jpg","Waltercio Caldas","20 de janeiro de 1997","Avenida Beira Mar, Rio de Janeiro - RJ","-22.911015","-43.171565"
14,"O Passante","A escultura é uma referência às milhares de pessoas que transitam diariamente pelo largo. Feita em aço corten, o autor expõe o material ao natural deixando as marcas do tempo.","http://riomonumentos.com/cadastro/uploads/o-passante.JPG","José Resende","09 de fevereiro de 1996","Largo da Carioca, Rio de Janeiro - RJ","-22.908148","-43.177812"
15,"Obra sem título","Estrutura de concreto na forma de um cilindro torcido.  A obra permite que os que transitam por ela, percebam o movimento à medida que passa pela peça.","http://riomonumentos.com/cadastro/uploads/obra-sem-titulo.gif","Ivens Machado","1995","Rua Uruguaiana, Rio de Janeiro - RJ","-22.906243","-43.178689"
17,"Obelisco ","Trata-se de um monumento comemorativo da abertura da Avenida Central (hoje Avenida Rio Branco) iniciada em 8 de março de 1904 e concluído na data de inauguracao do marco, dia 14 de novembro de 1906.","http://riomonumentos.com/cadastro/uploads/obelisco.JPG","A. Januzzi Irmão & Cia.","14 de novembro de 1906","Avenida Rio Branco, Centro, Rio de Janeiro - RJ","-22.912734","-43.174792"
18,"Cândido de Oliveira","O busto foi realizado em 1919 e colocado inicialmente na Faculdade de Direito da Universidade Federal do Rio de Janeiro. Em 1991, a prefeitura fundiu uma réplica do busto a fim de instalar em frente àquela faculdade para reconhecimento público.","http://riomonumentos.com/cadastro/uploads/candido-de-oliveira.jpg","C. Ramos","junho de 1991","Rua Moncorvo Filho, Rio de Janeiro - RJ","-22.907413","-43.190314"
19,"Portão (conjunto de 4 portões)","São quatro os portões, um em cada eixo cartesiano do parque. O portão está fixado em colunas de gnaisses com um frontispício de ferro fundido de desenho sinuoso.  Na parte superior, encontramos um arco que sustenta um medalhão, com as armas da República e abaixo uma placa com a data de 1873.  Sobre as colunas, um vaso de ferro completa o conjunto.","http://riomonumentos.com/cadastro/uploads/portao-(-conjunto-de-4-portoes).jpg","Fundição de Val d'Osne","1880","Campo de Santana, Rio de Janeiro - RJ","-22.904968","-43.189355"
20,"Bernardo Pereira de Vasconcelos","Foi o fundador do Colégio Pedro II, o primeiro grande estabelecimento de ensino secundário no país.","http://riomonumentos.com/cadastro/uploads/bernardo-pereira-de-vasconcelos.gif","Flory Gama","inauguracao em data desconhecida","Av. Passos, Rio de Janeiro - RJ","-22.901987","-43.184363"
21,"D. João VI","No ano que se comemorou o IV centenário da fundação da cidade do Rio de Janeiro, o  Governo Português, presenteou a cidade com a estátua como homenagem ao Rei de Portugal, que viveu no Brasil durante as guerras napoleônicas.","http://riomonumentos.com/cadastro/uploads/d.-joao-vi.JPG","Projeto de  Carlos Ramos foi executada por Barata Feio","10 de junho de 1965","Praça XV, Rio de Janeiro - RJ","-22.902407","-43.172928"
22,"General Osório","Trata-se de um mausoléu composto de um grande pedestal revestido de granito de Baveno, onde estão fixados dois baixos-relevos e a estátua do General Osório montado a cavalo, ligeiramente inclinado com espada em punho.","http://riomonumentos.com/cadastro/uploads/general-osorio.JPG","Rodolfo Bernadelli","12 de novembro de 1894","Praça XV, Rio de Janeiro - RJ","-22.903152","-43.174597"
23,"Princesa Isabel ","Trata-se de um marco na avenida em referência a àquela que, no dia 13 de maio de 1888, libertou os escravos no Brasil. O marco tem a efígie da princesa e atrás o texto da Lei Áurea. Foi uma doação do Metrô do Rio de Janeiro a Municipalidade.","http://riomonumentos.com/cadastro/uploads/princesa-isabel.jpg","desconhecido","Setembro de 1996","Avenida Treze de Maio , Rio de Janeiro - RJ","-22.909390","-43.176873"
24,"Villa-Lobos","Está instalado ao lado do Teatro Municipal do Rio de Janeiro, como homenagem a quem tanto contribuiu para a música brasileira.","http://riomonumentos.com/cadastro/uploads/villa-lobos.JPG","Bruno Giorgi","1959","Avenida Rio Branco , Rio de Janeiro - RJ","-22.908949","-43.176358"
25,"Marechal Floriano ","O monumento foi executado para exaltar a nacionalidade brasileira e sua formação, com grupos alegóricos lembrando indígenas, portugueses, negros e a presença católica no Brasil.","http://riomonumentos.com/cadastro/uploads/marechal-floriano.jpg","Eduardo de Sá","21 de abril de 1910","Praça Floriano, Rio de Janeiro - RJ","-22.910679","-43.175760"
26,"Teixeira de Freitas","O monumento é uma homenagem ao jurista e professor que escreveu sobre a Consolidação das Leis Civis, que projetou seu nome na história do Brasil.","http://riomonumentos.com/cadastro/uploads/teixeira-de-freitas.JPG","Rodolfo Bernadelli","7 de agosto de 1905","Avenida Marechal Câmara, Rio de Janeiro - RJ","-22.909113","-43.169634"
27,"Buarque de Macedo","A estátua ao engenheiro Manuel Buarque de Macedo foi construída por subscrição pública.  O homenageado está de pé, tendo ao seu lado um globo terrestre e junto está escrita a palavra "Agricultura".","http://riomonumentos.com/cadastro/uploads/buarque-de-macedo.JPG","Correia Lima","5 de maio de 1938","Avenia Beira Mar , Rio de Janeiro - RJ","-22.910435","-43.169192"
28,"Monumento a Paz","Trata-se de uma escultura em concreto armado em forma estilizada de ampulheta. Ao centro, caixas de vidro temperado para a colocação de areia de vários países. Na face superior, existe uma abertura para colocar terras de várias partes do mundo. Nas paredes do monumento, está gravado no concreto as palavras “Paz Mundial” em 28 idiomas.","http://riomonumentos.com/cadastro/uploads/180713121249-monumento_a_paz01.jpg","Siron Franco","14 de julho de 1992","Praça 22 de Abril, Rio de Janeiro - RJ","-22.910493","-43.168691"
29,"Monumento a Santos Dumont","Trata-se de um conjunto escultórico de placas de granito encaixadas. Nos blocos, foram inseridas as esculturas, sendo o maior destaque a figura de Santos Dumont e acima deste a figura do Ícaro prestes a voar. Além desses elementos, têm-se peças de avião e figuras humanas caídas.","http://static.panoramio.com/photos/large/8722741.jpg","Amadeu Zani","23 de outubro de 1942","Praça Salgado Filho, Rio de Janeiro - RJ","-22.911618","-43.167765"
30,"Solar Windsurfer (Leveza da Pedra)","A peça é em mármore de carrara esculpida de um bloco monolítico de mármore de carrara, onde foram cortadas por linhas verticais profundas que se direcionam para o centro da peça.","http://riomonumentos.com/cadastro/uploads/solar-windsurfer-(-leveza-da-pedra).jpg","Jesper Neergaard","Outubro de 2001","Praça Senador Salgado Filho, Rio de Janeiro - RJ","-22.910540","-43.167342"
31,"Lampadário","É o primeiro lampadário artístico da cidade e foi inaugurado na comemoração da abertura da Av. Mem de Sá. Uma composição de gnaisse e bronze, cuja execução ficou a cargo da Fundição Brasileira de Ferro e Bronze Kobler & Cia. Lembra as grandes navegações portuguesas, com velas e animais marinhos. No seu topo, está uma esfera armilar.","http://riomonumentos.com/cadastro/uploads/lampadario.jpg","Rodolfo Bernadelli","12 de novembro de 1906","Largo da Lapa , Rio de Janeiro - RJ","-22.914242","-43.178048"
32,"Arcos da Lapa ","É a maior obra pública de engenharia século XVIII. Sua construção de pedra e argila, em estilo romano, em dupla arcada tem quarenta e dois arcos. Era um aqueduto trazendo as águas das nascentes do Rio Carioca até o Largo da Carioca.","http://riomonumentos.com/cadastro/uploads/180713111152-arcos_da_lapa01.jpg","A obra foi dirigida pelo Brigadeiro Apoim","durante os anos de 1744 a 1750","Largo da Lapa, Rio de Janeiro - RJ","-22.912867","-43.179908"
33,"General Santander","A estátua foi oferecida pelo governo colombiano ao Brasil, em gesto de cordialidade. A estátua do general colombiano está com uniforme militar e uma larga capa sobre os ombros, tendo na mão esquerda a sua espada e na direita um rolo de papel. Está sobre pedestal de mármore branco.","http://riomonumentos.com/cadastro/uploads/general-santander.gif","Francisco Victor Palma","12 de dezembro de 1941","Praça Santander, Avenida Rio Branco, Rio de Janeiro - RJ","-22.912719","-43.174149"
35,"Ana Néri","Este monumento foi erguido numa resolução formada na Terceira Conferência Interamericana, realizada no Rio de Janeiro em 1935, onde contribuíram as Sociedades Nacionais da Cruz Vermelha dos seguintes países: Argentina, Bolívia, Brasil, Canadá, Chile Colômbia, Costa Rica, Cuba, Equador, Estados Unidos, Guatemala, Haiti, Honduras, México, Nicarágua, Paraná, República Dominicana, São Salvador, Uruguai e Venezuela.","http://riomonumentos.com/cadastro/uploads/ana-neri.gif","Praça Cruz Vermelha – Centro","29 de dezembro de 1956","Praça Cruz Vermelha, Rio de Janeiro - RJ","-22.911758","-43.188214"
36,"Amizade entre os Povos","Este monumento, teve a estátua obtida por subscrição do povo dos Estados Unidos da América do Norte, sob os auspícios da America Chamber of Comner for Brazil, em comemoração ao centenário da Independência do Brasil. A obra tem uma figura feminina de pé, sustentando na mão direita uma palma de louros.","http://riomonumentos.com/cadastro/uploads/amizade.gif","Benevenuto Berna","4 de julho de 1931","Praça IV de Julho, Rio de Janeiro - RJ","-22.911996","-43.173490"
37,"Francisco Mignone","O monumento foi realizado por iniciativa do Embaixador Vicente Paulo Gatti, dirigente da Ordem dos Músicos do Brasil no Estado do Rio de Janeiro, que mandou fundir para oferecer à prefeitura. O homenageado foi professor de regência do Instituto Nacional de Música no Rio de Janeiro e diretor do Theatro Municipal do Rio.","http://riomonumentos.com/cadastro/uploads/180713121226-Francisco_01.jpg","Bruno Giorgi","1988","Rua do Passeio, Rio de Janeiro - RJ","-22.913769","-43.177998"
38,"Mascate","A peça foi criada em 1964 pela Confederação Nacional do Comércio e pelo Departamento Nacional do Senac, com a finalidade de homenagear empresários que se destacam por sua contribuição ao desenvolvimento do país. Em 1991, se tornou a figura de um mascate, comerciante que se dedicava a vender os mais variados produtos de uso pessoal e doméstico em distantes lugares. Se tornou um monumento público.","http://www.monumentosdorio.com.br/img/escultura/013/rua/gra/027.gif","Honório Peçanha","18 de novembro de 1991","Rua Buenos Aires, Rio de Janeiro - RJ","-22.905466","-43.184933"
39,"Sebastião Leme","A homenagem ao Cardeal foi consagrada por esse monumento, um agradecimento da Pátria.","http://riomonumentos.com/cadastro/uploads/18071301100-sebastiao_leme01.jpg","Maria da Glória Viana Patrasso","1951","Rua do Santana, Rio de Janeiro - RJ","-22.907757","-43.194319"
40,"José Bonifácio de Andrada e Silva","O monumento foi erguido para a comemoração do  cinquentenário da Independência do Brasil, por iniciativa do Instituto Histórico e Geográfico Brasileiro, em homenagem ao patriarca da Independência.","http://riomonumentos.com/cadastro/uploads/jose-bonifacio-de-andrada-e-silva.JPG","Louis Rochet","7 de setembro de 1872","Largo São Francisco de Paula , Rio de Janeiro - RJ","-22.905119","-43.180856"
41,"Saturnino Soares Meirelles","Este busto foi erguido, por iniciativa do Instituto Hahnemanniano do Brasil, em homenagem ao fundador e presidente da instituição.","http://riomonumentos.com/cadastro/uploads/saturnino-soares-meirelles.jpg","desconhecido","desconhecido","Praça Cruz Vermelha, Rio de Janeiro - RJ","-22.911973","-43.188648"
42,"Marechal Deodoro da Fonseca","O monumento é um mausoléu onde estão os restos mortais do Marechal Deodoro e de sua esposa. O monumento tem 23 metros de altura e pesa 850 toneladas. No topo, está o fundador da República, o Marechal Deodoro, com conjuntos dos vultos históricos da época da proclamação, bem como sua mãe, Da. Rosa Paulina da Fonseca.","http://riomonumentos.com/cadastro/uploads/marechal-deodoro-da-fonseca.gif","Modestino Kanto com colaboração de Honório Peçanha","15 de novembro de 1937","Praça Deodoro, Rio de Janeiro - RJ","-22.914012","-43.175138"
43,"Melvin Jones","Este monumento é uma homenagem ao fundador do Lions Club Internacional.","http://riomonumentos.com/cadastro/uploads/marco-a--melvin-jones.jpg","desconhecido","16 de abril de 1977","Praça Mário Lago, Centro, Rio de Janeiro - RJ","-22.906222","-43.176530"
44,"Assis Chateaubriand","A homenagem a Assis Chateaubriand partiu do Jornal do Comércio, que solicitou autorização à prefeitura para instalar o monumento reverenciando o jornalista, empresário, mecenas e político. Foi também advogado, professor de direito, escritor e membro da Academia Brasileira de Letras.  ","http://www.monumentosdorio.com.br/img/escultura/013/rua/gra/008.gif","desconhecido","1993","Rua da Candelária, Rio de Janeiro - RJ","-22.901795","-43.176880"
45,"Mestre Valentim","O monumento foi realizado quando das comemorações do centenário de sua morte. Valentim foi o primeiro a fundir peças em bronze e ferro. De extraordinário gênio inventivo e requintado gosto artístico, tornou-se famoso, não só pelas variadas obras civis e religiosas que executava, mas era procurado pelos ourives e cinzeladores da época.","http://riomonumentos.com/cadastro/uploads/18071301103-valentim_da_fonseca01.jpg","Joaquim Moreira Júnior","1 de março de 1913","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913142","-43.177093"
46,"Castro Alves","O monumento é uma bela criação de Eduardo Sá, que executou um pedestal com uma representação marajoara, com pedras de diferentes tonalidades em uma composição original. A peça de meio corpo com um instrumento de corda nas mãos em refinado acabamento enobrece a homenagem.","http://riomonumentos.com/cadastro/uploads/180713111159-castro_alves01.jpg","Eduardo Sá","1913","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913293","-43.176303"
47,"Chiquinha Gonzaga","A homenagem partiu da Sociedade Cultural de Chiquinha Gonzaga. Chiquinha foi a primeira mulher brasileira a assinar partitura, chegando a realizar 77 peças teatrais e mais de duas mil composições musicais. Foi a compositora que melhor traduziu o ritmo brasileiro num estilo original.","http://riomonumentos.com/cadastro/uploads/chiquinha-gonzaga.jpg","Honório Peçanha","17 de outubro de 1942","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913435","-43.177420"
48,"Rodolfo Bernadelli","A homenagem a Bernadelli foi realizada por seu discípulo, Correia Lima, que gravou no bronze sua intenção: Ao prof. Rodolfo Bernadelli.","http://riomonumentos.com/cadastro/uploads/rodolfo-bernadelli.jpg","Correia Lima","Desconhecidos","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.912608","-43.176496"
49,"Irineu Marinho","A homenagem a Irineu Marinho está situada na entrada do parque voltado para a Lapa. Irineu foi um realizador da imprensa brasileira, fundou a folha 'A noite' e, em 1925, o jornal O Globo.","http://riomonumentos.com/cadastro/uploads/180713121230-irineu_marinho01.jpg","Benevenuto Berna","10 de março de 1937","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913173","-43.177154"
50,"Pedro Américo","Na galeria dos grandes artistas brasileiros que foram homenageados no Passeio Público, o pintor Pedro Américo, que realizou o grandioso quadro 'Independência ou Morte', é um dos monumentos de nossa história.","http://riomonumentos.com/cadastro/uploads/180713121252-pedro_americo01.jpg","Paulo Mazzucchelli","Desconhecida","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.914063","-43.176357"
51,"Gonçalves Dias","A homenagem a Gonçalves Dias foi a primeira a ser instalada no parque.  Gonçalvez Dias introduziu o indianismo na literatura nacional com exaltação da cultura indígena.","http://riomonumentos.com/cadastro/uploads/goncalves-dias.JPG","Rodolfo Bernadelli","2 de julho 1901","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913669","-43.176699"
52,"Francisco Braga","Francisco Braga compôs todos os gêneros de músicas religiosas e profanas, para vozes e instrumento, solos, conjuntos de câmara, orquestra, teatro e bandas militares. Entre suas composições, se destaca “Hino à Bandeira” que tem a letras de Olavo Bilac.","http://riomonumentos.com/cadastro/uploads/francisco-braga.JPG","Paulo Mazzucchelli","1935","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913698","-43.176971"
53,"Raimundo Correia","Raimundo Correia foi jornalista, advogado e membro da Academia Brasileira de Letras e foi homenageado pela beleza de seus sonetos de caráter popular.","http://riomonumentos.com/cadastro/uploads/raimundo-correia.JPG","Honório Peçanha","novembro de 1944","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913182","-43.176537"
54,"Vitor Meirelles","Victor Meireles é outro artista homenageado que foi professor de pintura histórica da Academia de Belas Artes, tendo realizado como principais telas "A passagem do Humaitá” e a “Batalha do Riachuelo”.","http://riomonumentos.com/cadastro/uploads/vitor-meirelles.JPG","Eduardo Sá","1925","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913779","-43.177296"
55,"Alberto Nepomuceno","O monumento foi realizado em sua homenagem por seu destaque como nacionalista de uma extensa obra, com numerosas composições para piano, violoncelo e órgão.","http://riomonumentos.com/cadastro/uploads/180713111150-alberto_nepomuceno01.jpg","Rodolfo Bernadelli","1910","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913596","-43.177521"
56,"Plácido de Castro","Plácido de Castro é o único militar que está homenageado no Passeio Público. O monumento foi erguido em sua homenagem por estabelecer para o Brasil o estado do Acre.","http://riomonumentos.com/cadastro/uploads/180713121255-placido_castro01.jpg","Shnoorr","1973","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.912666","-43.176286"
57,"Olavo Bilac","Olavo Bilac é outro importante escritor que foi instalado no Passeio Público. Jornalista e poeta, Bilac tem no seu monumento um painel onde está representado seu poema épico, 'O caçador de esmeraldas', expressando seu nacionalismo. Foi membro fundador da Academia Brasileira de Letras.","http://riomonumentos.com/cadastro/uploads/180713121250-olavo_bilac01.jpg","Humberto Cozzo","desconhecida","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913031","-43.176713"
58,"Pirâmides","As pirâmides foram construídas em blocos de gnaisse no governo do Conde dos Arcos (D. Marcos de Noronha de Britto). Tem cerca de 15m de altura e 2m em cada face do quadrilátero inferior. Em cada uma delas, há uma inscrição realizada em mármore de lioz: “A Saudade do Rio” e, na outra, “Ao Amor do Público”. Essas pirâmides foram o último trabalho público do Mestre Valentim.","http://riomonumentos.com/cadastro/uploads/180713121254-piramide01.jpg","Mestre Valentim","construídas no período de 1794 a 1806","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913625","-43.176057"
59,"Portão Monumental","Mestre Valentim criou um portão de ferro fundido no estilo Barroco, fixado em dois pilares de pedra de gnaisse. Por cima do portão, tem-se um medalhão de bronze dourado com efígies da Rainha D. Maria I e de seu marido. O portão tem elementos em granito e mármore de lizo.","http://riomonumentos.com/cadastro/uploads/portao-monumental.JPG","Mestre Valentim","provavelmente em 1783","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913072","-43.177174"
60,"Menino 'Sou Util Inda Brincando'","Originalmente, a fonte era composta por um menino de mármore segurando um cágado, que lançava água num barril de gnaisse. A legenda 'Sou útil, ainda que brincando' acompanhava a escultura. A peça foi substituída por uma cópia de chumbo fundida, em 1841, e, em 2004, por uma peça em bronze.","http://riomonumentos.com/cadastro/uploads/escultura-do-menino.jpg","Mestre Valentim","provavelmente em 1783","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913808","-43.175940"
61,"Inverno","Estátua neoclássica, em ferro fundido, da figura de uma mulher sobre um pedestal, também em ferro fundido, realizada nas Fundições de Val d’Osne, França.","http://riomonumentos.com/cadastro/uploads/inverno(passeio).JPG","Mathurin Moreau","provavelmente em 1860","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913288","-43.176302"
62,"Verão","Estátua neoclássica, em ferro fundido, da figura de um homem sobre um pedestal, também em ferro fundido, realizada nas Fundições de Val d’Osne, França.","http://riomonumentos.com/cadastro/uploads/verao(passeio).JPG","Mathurin Moreau","provavelmente em 1860","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.912934","-43.176978"
63,"Outono","Estátua neoclássica, em ferro fundido, da figura de um homem sobre um pedestal, também em ferro fundido, realizada nas Fundições de Val d’Osne, França.","http://riomonumentos.com/cadastro/uploads/outono(passeio).jpg","Mathurin Moreau","provavelmente em 1860","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913262","-43.177268"
64,"Primavera","Estátua neoclássica, em ferro fundid da figura de uma mulher sobre um pedestal, também em ferro fundido, realizada nas Fundições de Val d’Osne, França.","http://riomonumentos.com/cadastro/uploads/primavera(passeio).JPG","Mathurin Moreau","provavelmente em 1860","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913645","-43.176718"
65,"Tritão","A escultura Tritão é uma das obras de Nicolino, que realizou diversas peças para embelezar os espaços públicos, principalmente na Quinta da Boa Vista.","http://riomonumentos.com/cadastro/uploads/18071301121-chafariz_senhor01.jpg","Nicolina Pinto Couto","1910, réplica realizada em 2004","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913780","-43.176710"
66,"Quiosque","Um dos poucos exemplares dos antigos quiosques que existiram nas ruas do Rio de Janeiro, implantados no início do século XX, para venda de pequenas mercadorias. No Passeio Público, existem dois quiosques de madeira.","http://riomonumentos.com/cadastro/uploads/180713121257-quiosque_passeio01.jpg","desconhecido","desconhecido","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913440","-43.176213"
67,"Ponte de Ferro","A ponte de ferro fundido é uma peça produzida pelas Fundições de Val d'Osne, França, imitando troncos de árvores amarrados e entrelaçados, próprio do estilo romântico introduzido por Glaziou no parque.","http://riomonumentos.com/cadastro/uploads/ponte-de-ferro.jpg","desconhecido","provavelmente em 1860","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913691","-43.176138"
68,"Recanto Glaziou","Este recanto, construído em rocailles (argamassa) imitando pedras, é próprio do estilo romântico introduzido pelo paisagista Glaziou.  Neste recanto, de um lado existe um banco formado por pedras artificiais e, do outro, uma pequena cascata.","http://www.passeiopublico.com/maispasseio/04-06/img/mat1_05.jpg","Glaziou","provavelmente em 1860","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.912790","-43.176563"
69,"Fonte do Jacaré","O Chafariz dos Jacarés é a primeira tentativa de estilização de animais da fauna nacional. Outra inovação de Valentim é o fato dele ter feito a água sair da boca de animais e não das tradicionais carrancas. Do conjunto original do Chafariz dos Jacarés, não restou quase nada, a não ser o próprio corpo da fonte e os jacarés.","http://riomonumentos.com/cadastro/uploads/fonte-do-jacare.jpg","Mestre Valentim","provavelmente em 1763","Passeio Público - Rua do Passeio - Rio de Janeiro","-22.913777","-43.175998"
70,"Luta Desigual","Trata-se de grupo escultórico que representa o combate entre um homem e um felino. O conjunto está sobre uma pedra de rocaille, um dos elementos criados pelo paisagista francês Auguste Marie Glaziou.","http://riomonumentos.com/cadastro/uploads/luta-desigual.gif","L. Despres","provavelmente em 1888","Campo de Santana, Rio de Janeiro - RJ","-22.907626","-43.189265"
71,"Pescador Napolitano","Escultura de um menino brincando com uma tartaruga em mármore. Esta peça foi apresentada no Salão de Paris em 1831 e foi trazida para o Brasil.","http://riomonumentos.com/cadastro/uploads/pescador-napollitano.jpg","François Rude","inaugurada no parque em data desconhecida","Campo de Santana, Rio de Janeiro - RJ","",""
72,"Inverno","Trata-se de uma peça em mármore de carrara de um homem idoso, encolhido e coberto por um refinado planejamento da cabeça aos pés.","http://riomonumentos.com/cadastro/uploads/inverno(campo-de-santana).JPG","Paul Jean Baptista Gasg","1906","Campo de Santana, Rio de Janeiro - RJ","",""
73,"Verão","É uma escultura neoclássica de um homem em mármore, protegendo os olhos do sol.","http://riomonumentos.com/cadastro/uploads/verao-(campo-de-santana).JPG","Paul Jean Baptiste Gasp","1906","Campo de Santana, Rio de Janeiro - RJ","",""
74,"Outono","É uma escultura de uma mulher olhando em direção a uma cesta de vime cheia de frutas.","http://riomonumentos.com/cadastro/uploads/outono-(campo-de-santana).jpg","Gustave Frédéric Michel","1906","Campo de Santana, Rio de Janeiro - RJ","",""
75,"Primavera","É uma escultura representando uma mulher com movimentos leves e um pequeno sorriso segurando um arranjo de flores.","http://riomonumentos.com/cadastro/uploads/primavera-(campo-de-santana).JPG","Gustave Frédéric Michel","1906","Campo de Santana, Rio de Janeiro - RJ","",""
